'Timestamp', 'MON1 CL DDM (?A)', 'MON1 CL RF (dB)', 'MON1 DS DDM (?A)', 'MON1 DS RF (dB)', 'MON1 NF DDM (?A)', 'MON1 NF RF (dB)', 'MON1 CLR DDM (?A)', 'MON1 CLR RF (dB)','TEMP1', 'TEMP2', 'TRYKK', 'SIKT'
2022 01 28 18 31 36,2.60,0.36,0.87,0.34,-3.18,0.14,0.87,0.41,00,-05,0993,9999
2022 01 28 18 36 36,2.89,0.36,0.58,0.35,-3.47,0.15,0.29,0.42,00,-05,0993,9999
2022 01 28 18 41 37,2.60,0.36,0.58,0.35,-3.76,0.14,0.00,0.41,00,-05,0993,9999
2022 01 28 18 46 37,2.89,0.36,1.45,0.34,-3.18,0.13,2.89,0.38,00,-05,0993,9999
2022 01 28 18 51 38,2.89,0.36,0.87,0.34,-3.76,0.15,2.89,0.39,01,-04,0992,9999
2022 01 28 18 56 38,2.89,0.36,1.16,0.34,-3.47,0.14,2.89,0.38,01,-04,0992,9999
2022 01 28 19 01 38,2.60,0.36,1.16,0.34,-3.18,0.08,3.18,0.38,01,-04,0992,9999
2022 01 28 19 06 39,2.89,0.36,0.87,0.34,-4.05,0.08,2.02,0.38,01,-04,0992,9999
2022 01 28 19 11 39,2.60,0.36,1.16,0.34,-4.34,0.11,3.18,0.38,01,-04,0992,9999
2022 01 28 19 16 40,2.60,0.36,1.16,0.34,-4.05,0.11,3.18,0.38,01,-04,0992,9999
2022 01 28 19 21 40,2.60,0.35,1.45,0.32,-4.92,0.11,3.76,0.36,00,-04,0991,9999
2022 01 28 19 26 41,2.89,0.35,1.45,0.32,-5.21,0.14,3.76,0.36,00,-04,0991,9999
2022 01 28 19 31 40,3.18,0.31,2.02,0.27,-5.50,0.19,5.50,0.33,00,-04,0991,9999
2022 01 28 19 36 41,2.89,0.31,1.74,0.28,-4.63,0.17,5.50,0.33,00,-04,0991,9999
2022 01 28 19 41 42,3.18,0.31,1.74,0.27,-4.05,0.16,4.92,0.34,00,-04,0991,9999
2022 01 28 19 46 42,2.89,0.32,1.74,0.29,-4.05,0.16,4.34,0.35,00,-04,0991,9999
2022 01 28 19 51 43,3.18,0.32,1.45,0.28,-3.76,0.14,4.34,0.35,00,-04,0990,9999
2022 01 28 19 56 43,3.18,0.32,1.74,0.28,-3.76,0.14,4.34,0.35,00,-04,0990,9999
2022 01 28 20 01 43,2.89,0.32,1.74,0.28,-3.76,0.14,4.34,0.35,00,-04,0990,9999
2022 01 28 20 06 43,2.89,0.33,1.45,0.29,-4.34,0.17,4.63,0.35,00,-04,0990,9999
2022 01 28 20 11 44,3.18,0.31,2.02,0.27,-4.63,0.17,5.78,0.33,00,-04,0990,9999
2022 01 28 20 16 44,3.18,0.31,1.74,0.27,-5.21,0.17,5.21,0.33,00,-04,0990,9999
2022 01 28 20 21 45,3.47,0.31,1.74,0.28,-5.21,0.17,4.92,0.35,00,-03,0989,9999
2022 01 28 20 26 45,3.18,0.31,1.74,0.28,-5.78,0.19,4.92,0.33,00,-03,0989,9999
2022 01 28 20 31 45,3.18,0.32,1.74,0.28,-5.78,0.20,5.50,0.32,00,-03,0989,9999
2022 01 28 20 36 45,2.89,0.32,2.02,0.28,-5.78,0.21,5.78,0.33,00,-03,0989,9999
2022 01 28 20 41 45,3.18,0.32,2.02,0.28,-5.50,0.19,5.78,0.32,00,-03,0989,9999
2022 01 28 20 46 46,3.18,0.32,1.74,0.28,-5.78,0.20,5.78,0.32,00,-03,0989,9999
2022 01 28 20 51 46,3.18,0.32,1.74,0.28,-5.21,0.19,5.21,0.34,00,-03,0988,8000
2022 01 28 20 56 46,2.89,0.31,1.74,0.28,-5.21,0.19,5.21,0.33,00,-03,0988,8000
2022 01 28 21 01 46,3.18,0.31,1.74,0.27,-5.21,0.19,5.21,0.33,00,-03,0988,8000
2022 01 28 21 06 46,3.18,0.31,1.74,0.27,-4.92,0.17,4.34,0.34,00,-03,0988,8000
2022 01 28 21 11 47,3.18,0.32,1.45,0.29,-5.50,0.20,4.05,0.35,00,-03,0988,8000
2022 01 28 21 16 47,3.18,0.31,1.74,0.27,-5.78,0.20,4.92,0.33,00,-03,0988,8000
2022 01 28 21 21 47,2.89,0.32,1.45,0.29,-5.78,0.20,4.05,0.35,00,-03,0987,9000
2022 01 28 21 26 48,2.89,0.34,1.45,0.30,-6.07,0.20,3.76,0.35,00,-03,0987,9000
2022 01 28 21 31 48,3.18,0.32,1.74,0.28,-5.78,0.22,4.63,0.34,00,-03,0987,9000
2022 01 28 21 36 49,2.89,0.33,1.74,0.29,-6.36,0.24,4.92,0.34,00,-03,0987,9000
2022 01 28 21 41 49,2.89,0.33,1.74,0.29,-6.07,0.22,4.63,0.34,00,-03,0987,9000
2022 01 28 21 46 49,2.89,0.33,1.45,0.29,-5.78,0.22,5.50,0.32,00,-03,0987,9000
2022 01 28 21 51 49,2.89,0.32,1.74,0.29,-5.78,0.21,5.50,0.33,00,-03,0986,9999
2022 01 28 21 56 50,2.89,0.32,1.74,0.28,-5.50,0.20,5.78,0.32,00,-03,0986,9999
2022 01 28 22 01 50,2.89,0.32,1.74,0.28,-5.50,0.20,5.78,0.32,00,-03,0986,9999
2022 01 28 22 06 50,2.89,0.33,1.74,0.29,-5.78,0.21,5.21,0.34,00,-03,0986,9999
2022 01 28 22 11 50,2.89,0.32,2.02,0.29,-4.92,0.19,5.50,0.33,00,-03,0986,9999
2022 01 28 22 16 51,3.18,0.32,1.74,0.28,-4.34,0.16,5.78,0.33,00,-03,0986,9999
2022 01 28 22 21 51,3.47,0.31,1.74,0.27,-4.34,0.16,5.78,0.32,00,-03,0986,9999
2022 01 28 22 26 52,3.18,0.32,2.02,0.28,-4.05,0.14,5.78,0.33,00,-03,0986,9999
2022 01 28 22 31 51,3.47,0.31,1.74,0.28,-4.05,0.14,5.50,0.33,00,-03,0986,9999
2022 01 28 22 36 52,3.18,0.31,1.74,0.28,-3.76,0.14,5.78,0.33,00,-03,0986,9999
2022 01 28 22 41 52,3.18,0.31,1.74,0.28,-3.76,0.14,5.78,0.33,00,-03,0986,9999
2022 01 28 22 46 53,3.18,0.32,2.02,0.28,-4.34,0.14,5.50,0.33,00,-03,0986,9999
2022 01 28 22 51 53,2.89,0.33,2.02,0.29,-5.78,0.21,5.78,0.32,00,-02,0985,9999
2022 01 28 22 56 53,2.89,0.32,2.02,0.28,-5.78,0.20,5.50,0.32,00,-02,0985,9999
2022 01 28 23 01 53,3.18,0.32,1.74,0.28,-6.07,0.21,5.50,0.32,00,-02,0985,9999
