'Timestamp', 'MON1 CL DDM (?A)', 'MON1 CL RF (dB)', 'MON1 DS DDM (?A)', 'MON1 DS RF (dB)', 'MON1 NF DDM (?A)', 'MON1 NF RF (dB)', 'MON1 CLR DDM (?A)', 'MON1 CLR RF (dB)','TEMP1', 'TEMP2', 'TRYKK', 'SIKT'
2022 01 29 09 07 38,2.60,0.24,1.45,0.21,-0.58,0.10,4.34,0.24,01,-01,0991,9999
2022 01 29 09 12 39,2.60,0.24,1.45,0.21,-0.29,0.09,4.34,0.24,01,-01,0991,9999
2022 01 29 09 17 39,2.60,0.25,1.16,0.22,-0.58,0.10,4.05,0.25,01,-01,0991,9999
2022 01 29 09 22 40,2.60,0.23,1.45,0.20,-0.29,0.09,4.34,0.23,01,-01,0992,9999
2022 01 29 09 27 40,2.60,0.24,1.45,0.21,-0.29,0.07,4.63,0.24,01,-01,0992,9999
2022 01 29 09 32 41,2.60,0.23,1.45,0.20,0.00,0.10,4.34,0.23,01,-01,0992,9999
2022 01 29 09 37 41,2.60,0.23,1.45,0.20,0.00,0.09,4.34,0.23,01,-01,0992,9999
2022 01 29 09 42 42,2.60,0.24,1.45,0.21,-0.29,0.08,4.34,0.24,01,-01,0992,9999
2022 01 29 09 47 42,2.60,0.23,1.45,0.20,0.00,0.08,4.34,0.23,01,-01,0992,9999
2022 01 29 09 52 42,2.60,0.23,1.45,0.20,0.00,0.07,4.34,0.23,02,-01,0993,9999
2022 01 29 09 57 42,2.60,0.24,1.45,0.21,0.00,0.07,4.63,0.24,02,-01,0993,9999
2022 01 29 10 02 42,2.60,0.24,1.45,0.21,0.29,0.08,4.63,0.25,02,-01,0993,9999
2022 01 29 10 07 43,2.89,0.24,1.45,0.21,0.29,0.10,4.34,0.24,02,-01,0993,9999
2022 01 29 10 12 43,2.60,0.25,1.74,0.22,0.00,0.07,4.63,0.25,02,-01,0993,9999
2022 01 29 10 17 43,2.89,0.25,1.45,0.22,-0.29,0.08,4.63,0.25,02,-01,0993,9999
2022 01 29 10 22 44,2.89,0.24,1.74,0.21,0.00,0.08,4.63,0.25,02,-01,0993,9999
2022 01 29 10 27 44,2.89,0.25,1.74,0.21,0.00,0.09,4.63,0.25,02,-01,0993,9999
2022 01 29 10 32 45,2.60,0.25,1.45,0.22,0.58,0.08,4.63,0.26,02,-01,0993,9999
2022 01 29 10 37 46,2.60,0.27,1.16,0.24,0.29,0.07,4.05,0.26,02,-01,0993,9999
2022 01 29 10 42 46,2.60,0.28,1.16,0.25,0.00,0.08,4.05,0.28,02,-01,0993,9999
2022 01 29 10 47 46,2.89,0.28,1.45,0.25,0.29,0.07,4.92,0.26,02,-01,0993,9999
2022 01 29 10 52 46,2.60,0.30,1.16,0.27,-0.87,0.07,3.76,0.29,01,-01,0994,9999
2022 01 29 10 57 47,2.31,0.31,0.87,0.29,-1.16,0.09,2.60,0.29,01,-01,0994,9999
2022 01 29 11 02 47,2.89,0.30,1.16,0.26,-1.16,0.05,4.34,0.28,01,-01,0994,9999
2022 01 29 11 07 46,2.89,0.29,1.45,0.26,-0.29,-0.01,3.76,0.30,01,-01,0994,9999
2022 01 29 11 12 47,3.47,0.22,2.31,0.18,0.00,0.02,5.50,0.25,01,-01,0994,9999
2022 01 29 11 17 47,3.18,0.25,1.74,0.20,-0.87,0.05,5.50,0.25,01,-01,0994,9999
2022 01 29 11 22 48,3.18,0.26,1.74,0.22,-1.74,0.10,5.50,0.26,01,-01,0994,9999
2022 01 29 11 27 48,3.47,0.25,2.02,0.20,-2.60,0.08,6.07,0.25,01,-01,0994,9999
2022 01 29 11 32 49,3.47,0.26,2.02,0.22,-2.60,0.08,6.07,0.26,01,-01,0994,9999
2022 01 29 11 37 49,3.76,0.25,2.02,0.21,-1.45,0.05,5.50,0.26,01,-01,0994,9999
2022 01 29 11 42 49,3.47,0.26,2.02,0.22,-1.74,0.05,5.50,0.26,01,-01,0994,9999
2022 01 29 11 47 49,3.47,0.26,1.74,0.23,-2.02,0.09,5.78,0.26,01,-01,0994,9999
2022 01 29 11 52 50,3.76,0.26,2.02,0.22,-1.45,0.05,5.50,0.26,01,00,0995,9999
2022 01 29 11 57 50,3.76,0.26,1.74,0.22,0.29,-0.03,4.92,0.27,01,00,0995,9999
2022 01 29 12 02 51,3.76,0.26,1.74,0.22,0.00,0.00,4.63,0.27,01,00,0995,9999
2022 01 29 12 07 52,3.47,0.26,1.74,0.23,0.29,0.03,5.21,0.26,01,00,0995,9999
2022 01 29 12 12 52,3.47,0.28,1.74,0.23,-0.29,0.05,5.21,0.27,01,00,0995,9999
2022 01 29 12 17 52,3.47,0.26,2.02,0.22,0.58,0.00,5.50,0.26,01,00,0995,9999
2022 01 29 12 22 52,3.47,0.26,2.31,0.22,-0.29,0.07,7.81,0.22,01,00,0995,9999
2022 01 29 12 27 52,3.76,0.23,2.31,0.18,-0.29,0.08,7.81,0.21,01,00,0995,9999
2022 01 29 12 32 53,3.76,0.23,2.60,0.18,0.00,0.07,8.68,0.20,01,00,0995,9999
2022 01 29 12 37 53,3.76,0.23,2.60,0.18,0.58,0.08,8.39,0.21,01,00,0995,9999
2022 01 29 12 42 53,4.05,0.22,2.89,0.16,2.02,0.02,9.26,0.20,01,00,0995,9999
2022 01 29 12 47 54,3.18,0.26,1.74,0.23,1.16,0.02,5.50,0.26,01,00,0995,9999
2022 01 29 12 52 55,3.76,0.26,2.02,0.22,0.00,0.04,5.50,0.26,01,-00,0996,9999
2022 01 29 12 57 55,3.76,0.27,2.02,0.23,-0.29,0.08,5.50,0.26,01,-00,0996,9999
2022 01 29 13 02 55,3.76,0.28,2.31,0.22,-0.58,0.08,7.23,0.24,01,-00,0996,9999
2022 01 29 13 07 55,3.76,0.26,2.31,0.22,0.87,0.06,7.52,0.23,01,-00,0996,9999
2022 01 29 13 12 56,3.76,0.25,2.31,0.19,0.58,0.10,8.10,0.22,01,-00,0996,9999
2022 01 29 13 17 56,3.47,0.25,2.31,0.19,0.29,0.14,7.81,0.22,01,-00,0996,9999
2022 01 29 13 22 56,2.89,0.26,2.60,0.22,0.58,0.11,6.94,0.23,02,-02,0996,9999
2022 01 29 13 27 57,2.60,0.29,1.74,0.26,1.16,0.10,5.50,0.26,02,-02,0996,9999
2022 01 29 13 32 57,2.89,0.31,1.45,0.27,1.16,0.08,5.21,0.27,02,-02,0996,9999
2022 01 29 13 37 57,2.60,0.32,1.45,0.28,1.74,0.07,5.21,0.28,02,-02,0996,9999
2022 01 29 13 42 57,2.60,0.32,1.74,0.28,1.74,0.07,4.92,0.28,02,-02,0996,9999
2022 01 29 13 47 58,2.31,0.33,0.87,0.30,2.02,0.07,4.05,0.29,02,-02,0996,9999
