Timestamp,MON1 CL DDM (ｵA),MON1 CL RF (dB),MON1 DS DDM (ｵA),MON1 DS RF (dB),MON1 NF DDM (ｵA),MON1 NF RF (dB),MON1 CLR DDM (ｵA),MON1 CLR RF (dB)
2022-02-09 15:17:32,2.89,0.35,0.87,0.33,-2.02,0.13,1.45,0.35
2022-02-09 15:22:32,2.89,0.35,0.29,0.33,-2.02,0.12,0.58,0.36
2022-02-09 15:27:33,2.60,0.35,0.29,0.34,-2.31,0.14,0.00,0.36
2022-02-09 15:32:33,2.60,0.35,0.58,0.34,-2.31,0.15,0.29,0.36
2022-02-09 15:37:33,2.60,0.35,0.58,0.33,-3.18,0.16,1.16,0.36
2022-02-09 15:42:34,2.60,0.35,0.29,0.33,-3.76,0.18,1.74,0.35
2022-02-09 15:47:34,2.31,0.35,0.87,0.32,-3.76,0.19,2.60,0.34
2022-02-09 15:52:35,2.60,0.35,0.87,0.32,-3.76,0.19,2.89,0.34
2022-02-09 15:57:35,2.60,0.35,1.16,0.32,-3.76,0.18,3.47,0.34
2022-02-09 16:02:36,2.31,0.36,0.87,0.33,-4.05,0.21,3.47,0.34
2022-02-09 16:07:37,2.31,0.36,0.87,0.33,-3.47,0.20,3.47,0.34
2022-02-09 16:12:37,2.31,0.36,0.87,0.33,-2.89,0.20,3.47,0.34
2022-02-09 16:17:37,2.31,0.36,1.16,0.33,-2.89,0.19,3.47,0.34
2022-02-09 16:22:37,2.31,0.35,0.87,0.33,-3.18,0.20,3.76,0.34
2022-02-09 16:27:38,2.31,0.35,1.16,0.32,-3.18,0.21,3.76,0.34
2022-02-09 16:32:38,2.31,0.35,0.87,0.32,-3.18,0.20,4.05,0.34
2022-02-09 16:37:38,2.31,0.35,0.87,0.32,-2.60,0.20,4.05,0.33
2022-02-09 16:42:39,2.31,0.35,1.16,0.32,-2.60,0.19,4.05,0.32
2022-02-09 16:47:39,2.60,0.34,1.16,0.31,-2.60,0.18,4.05,0.32
