Timestamp,MON1 CL DDM (?A),Status,MON1 CL SDM (%),Status,MON1 CL RF (dB),Status,MON1 DS DDM (?A),Status,MON1 DS SDM (%),Status,MON1 DS RF (dB),Status,MON1 NF DDM (?A),Status,MON1 NF SDM (%),Status,MON1 NF RF (dB),Status,MON1 CLR DDM (?A),Status,MON1 CLR SDM (%),Status,MON1 CLR RF (dB),Status,MON1 DIFF FREQ (kHz),Status,MON1 TEST DDM (?A),Status,MON1 TEST SDM (%),Status,MON1 TEST RF (dB),Status,MON1 SELF TEST (),Status,MON2 CL DDM (?A),Status,MON2 CL SDM (%),Status,MON2 CL RF (dB),Status,MON2 DS DDM (?A),Status,MON2 DS SDM (%),Status,MON2 DS RF (dB),Status,MON2 NF DDM (?A),Status,MON2 NF SDM (%),Status,MON2 NF RF (dB),Status,MON2 CLR DDM (?A),Status,MON2 CLR SDM (%),Status,MON2 CLR RF (dB),Status,MON2 DIFF FREQ (kHz),Status,MON2 TEST DDM (?A),Status,MON2 TEST SDM (%),Status,MON2 TEST RF (dB),Status,MON2 SELF TEST (),Status
"2022-01-28 14:11:19,1"," 2,02", ,"79,97", ," 0,32", ," 0,87", ,"80,01", ," 0,29", ,"-3,18", ,"79,94", ," 0,19", ," 2,31", ,"80,01", ," 0,34", ,"14,74", ,"-0,29", ,"79,80", ," 0,01", ," 0,00", ," 1,74", ,"79,97", ," 0,35", ," 1,16", ,"79,97", ," 0,33", ,"-2,89", ,"79,97", ," 0,21", ," 0,87", ,"80,01", ," 0,37", ,"14,74", ,"-13,59", ,"71,23", ,"-2,48", ," 0,00", 
"2022-01-28 14:16:19,4"," 1,74", ,"79,94", ," 0,32", ," 0,87", ,"80,01", ," 0,29", ,"-2,89", ,"79,97", ," 0,19", ," 2,31", ,"80,01", ," 0,34", ,"14,76", ,"-60,16",a,"54,80",a,"-5,03",a," 0,00", ," 1,74", ,"79,94", ," 0,35", ," 0,87", ,"79,97", ," 0,33", ,"-3,18", ,"79,97", ," 0,21", ," 0,87", ,"80,01", ," 0,37", ,"14,74", ,"-62,18",a,"54,56",a,"-2,97",a," 0,00", 
"2022-01-28 14:21:20,1"," 1,74", ,"79,94", ," 0,32", ," 0,87", ,"79,97", ," 0,29", ,"-3,18", ,"79,94", ," 0,19", ," 2,60", ,"80,01", ," 0,34", ,"14,74", ,"-58,71",a,"55,51",a,"-5,03",a," 0,00", ," 2,02", ,"79,97", ," 0,35", ," 0,58", ,"80,01", ," 0,32", ,"-3,18", ,"79,94", ," 0,21", ," 0,87", ,"80,01", ," 0,37", ,"14,74", ,"-61,32",a,"53,82",a,"-5,03",a," 0,00", 
"2022-01-28 14:26:20,2"," 0,29", ," 0,03",A,"-39,90",A,"-76,94",A," 0,03",A,"-39,90",A," 0,00", ," 0,00",A,"-39,90",A,"-322,78",A," 0,03",A,"-35,61",A," 0,00",A," 0,00", ," 0,03",a,"-5,03",a," 0,00", ," 0,00", ," 0,03",A,"-39,90",A,"-76,94",A," 0,03",A,"-43,63",A," 0,00", ," 0,03",A,"-43,63",A,"-322,78",A," 0,03",A,"-43,63",A," 0,00",A," 0,00", ," 0,00",a,"-5,03",a," 0,00", 
"2022-01-28 14:31:20,8"," 0,00", ," 0,03",A,"-39,90",A,"-76,94",A," 0,03",A,"-39,90",A," 0,00", ," 0,03",A,"-39,90",A,"-322,49",A," 0,03",A,"-35,61",A," 0,00",A,"-0,29", ," 0,07",a,"-5,03",a," 0,00", ," 0,00", ," 0,03",A,"-39,90",A,"-76,94",A," 0,03",A,"-43,63",A," 0,00", ," 0,00",A,"-46,59",A,"-322,49",A," 0,03",A,"-43,63",A," 0,00",A," 0,00", ," 0,00",a,"-5,03",a," 0,00", 
"2022-01-28 14:36:21,5"," 0,00", ," 0,00",A,"-41,53",A,"-76,94",A," 0,00",A,"-39,90",A," 0,00", ," 0,00",A,"-39,90",A,"-322,78",A," 0,03",A,"-35,61",A," 0,00",A," 0,00", ," 0,03",a," 0,01", ," 0,00", ," 0,00", ," 0,00",A,"-39,90",A,"-76,94",A," 0,00",A,"-43,63",A," 0,00", ," 0,00",A,"-46,59",A,"-322,78",A," 0,03",A,"-43,63",A," 0,00",A,"-0,29", ," 0,10",a,"-4,69",a," 0,00", 
"2022-01-28 14:41:21,6"," 0,00", ," 0,00",A,"-41,53",A,"-76,94",A," 0,03",A,"-39,90",A," 0,00", ," 0,00",A,"-39,90",A,"-322,78",A," 0,00",A,"-35,61",A," 0,00",A,"-0,29", ," 0,07",a,"-2,48", ," 0,00", ," 0,00", ," 0,00",A,"-39,90",A,"-76,94",A," 0,00",A,"-43,63",A," 0,00", ," 0,00",A,"-46,59",A,"-322,78",A," 0,00",A,"-43,63",A," 0,00",A," 0,00", ," 0,00",a,"-5,03",a," 0,00", 
"2022-01-28 14:46:22,2"," 0,00", ," 0,03",A,"-39,90",A,"-76,94",A," 0,00",A,"-39,90",A," 0,00", ," 0,00",A,"-39,90",A,"-322,78",A," 0,00",A,"-35,61",A," 0,00",A," 0,00", ," 0,00",a," 0,01", ," 0,00", ," 0,00", ," 0,03",A,"-39,90",A,"-76,94",A," 0,00",A,"-43,63",A," 0,00", ," 0,00",A,"-46,59",A,"-322,78",A," 0,03",A,"-43,63",A," 0,00",A," 0,00", ," 0,03",a,"-1,86", ," 0,00", 
"2022-01-28 14:51:22,6"," 0,00", ," 0,00",A,"-39,90",A,"-76,94",A," 0,00",A,"-39,90",A," 0,00", ," 0,00",A,"-39,90",A,"-322,78",A," 0,00",A,"-35,61",A," 0,00",A," 0,00", ," 0,00",a,"-5,03",a," 0,00", ," 0,00", ," 0,00",A,"-39,90",A,"-76,94",A," 0,00",A,"-43,63",A," 0,00", ," 0,00",A,"-46,59",A,"-322,78",A," 0,00",A,"-43,63",A," 0,00",A," 0,00", ," 0,03",a,"-3,69",a," 0,00", 
"2022-01-28 14:56:23,2"," 0,00", ," 0,00",A,"-41,53",A,"-76,94",A," 0,00",A,"-39,90",A," 0,00", ," 0,00",A,"-39,90",A,"-322,78",A," 0,00",A,"-35,61",A," 0,00",A," 0,00", ," 0,03",a,"-5,03",a," 0,00", ," 0,00", ," 0,00",A,"-39,90",A,"-76,94",A," 0,00",A,"-43,63",A," 0,00", ," 0,00",A,"-46,59",A,"-322,78",A," 0,00",A,"-43,63",A," 0,00",A," 0,00", ," 0,00",a,"-5,03",a," 0,00", 
"2022-01-28 15:01:23,6"," 0,00", ," 0,00",A,"-39,90",A,"-76,94",A," 0,03",A,"-39,90",A," 0,00", ," 0,00",A,"-39,90",A,"-322,78",A," 0,00",A,"-35,61",A," 0,00",A,"-0,29", ," 0,07",a," 0,01", ," 0,00", ," 0,00", ," 0,03",A,"-39,90",A,"-76,94",A," 0,00",A,"-43,63",A," 0,00", ," 0,00",A,"-46,59",A,"-322,78",A," 0,00",A,"-43,63",A," 0,00",A," 0,00", ," 0,00",a," 0,00", ," 0,00", 
"2022-01-28 15:06:24,0"," 1,74", ,"79,94", ," 0,34", ," 0,58", ,"79,94", ," 0,31", ,"-3,18", ,"79,94", ," 0,20", ," 2,60", ,"80,01", ," 0,36", ,"14,76", ,"-33,55",a,"62,90",a,"-4,69",a," 0,00", ," 1,74", ,"79,94", ," 0,37", ," 0,87", ,"79,97", ," 0,35", ,"-3,18", ,"79,94", ," 0,22", ," 1,16", ,"80,01", ," 0,41", ,"14,74", ,"-61,61",a,"53,38",a,"-5,03",a," 0,00", 
