Timestamp,MON1 CL DDM (?A),Status,MON1 CL SDM (%),Status,MON1 CL RF (dB),Status,MON1 DS DDM (?A),Status,MON1 DS SDM (%),Status,MON1 DS RF (dB),Status,MON1 NF DDM (?A),Status,MON1 NF SDM (%),Status,MON1 NF RF (dB),Status,MON1 CLR DDM (?A),Status,MON1 CLR SDM (%),Status,MON1 CLR RF (dB),Status,MON1 DIFF FREQ (kHz),Status,MON1 TEST DDM (?A),Status,MON1 TEST SDM (%),Status,MON1 TEST RF (dB),Status,MON1 SELF TEST (),Status,MON2 CL DDM (?A),Status,MON2 CL SDM (%),Status,MON2 CL RF (dB),Status,MON2 DS DDM (?A),Status,MON2 DS SDM (%),Status,MON2 DS RF (dB),Status,MON2 NF DDM (?A),Status,MON2 NF SDM (%),Status,MON2 NF RF (dB),Status,MON2 CLR DDM (?A),Status,MON2 CLR SDM (%),Status,MON2 CLR RF (dB),Status,MON2 DIFF FREQ (kHz),Status,MON2 TEST DDM (?A),Status,MON2 TEST SDM (%),Status,MON2 TEST RF (dB),Status,MON2 SELF TEST (),Status
"2022-01-28 16:40:19,7"," 1,16", ,"80,09", ," 0,19", ,"-0,13", ,"80,05", ," 0,20", ,"-6,17", ,"80,05", ," 0,28", ,"-1,09", ,"79,95", ," 0,20", ,"14,96", ," 1,46", ,"80,25", ," 0,00", ," 0,00", ," 1,24", ,"80,06", ," 0,19", ,"-0,19", ,"80,06", ," 0,20", ,"-6,17", ,"80,04", ," 0,31", ,"-0,99", ,"79,96", ," 0,18", ,"14,97", ,"-136,03",a,"39,99",a,"-8,16",a," 0,00", 
"1990-01-01 00:00:00,0"," 1,16",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?
"1990-01-01 00:00:00,0"," 0,01",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?
"1990-01-01 00:00:00,0"," 1,17",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?
"1990-01-01 00:00:00,0"," 0,01",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?
"2022-01-28 17:05:28,4"," 1,17",#," 2,17",#,"-61,00",A,"-86,36",#," 2,21",#,"-56,97",A," 2,49",#," 1,07",#,"-64,08",A,"-366,74",#," 2,03",#,"-48,21",A," 0,20",A,"-2,06", ," 2,33",a," 0,00", ," 0,00", ,"-5,87",#," 2,61",#,"-61,39",A,"-62,33",#," 2,17",#,"-57,01",A,"-4,89",#," 1,27",#,"-64,53",A,"-365,61",#," 4,03",#,"-48,32",A," 0,31",A,"-12,94", ," 1,64",a,"-8,43",a," 0,00", 
"2022-01-28 17:10:29,1"," 1,16",#," 4,17",#,"-61,04",A,"-57,81",#," 2,16",#,"-56,94",A,"-11,74",#," 1,91",#,"-64,11",A,"-364,09",#," 1,93",#,"-48,32",A," 0,52",A,"-5,31", ," 2,28",a,"-8,41",a," 0,00", ,"-6,39",#," 3,87",#,"-61,40",A,"-74,50",#," 1,69",#,"-56,97",A," 4,03",#," 2,02",#,"-64,31",A,"-368,87",#," 1,24",#,"-48,29",A," 0,09",A,"-10,29", ," 1,96",a,"-8,43",a," 0,00", 
"2022-01-28 17:15:29,1"," 1,16",#," 1,78",#,"-61,08",A,"-73,41",#," 1,95",#,"-56,84",A," 0,51",#," 3,71",#,"-64,06",A,"-365,89",#," 1,51",#,"-48,26",A," 0,19",A,"-5,74", ," 1,94",a," 0,00", ," 0,00", ,"-20,27",#," 3,76",#,"-61,39",A,"-48,70",#," 2,36",#,"-57,02",A,"-2,23",#," 0,73",#,"-64,36",A,"-356,27",#," 2,50",#,"-48,25",A," 0,04",A,"-15,43", ," 2,36",a,"-8,43",a," 0,00", 
"1990-01-01 00:00:00,0"," 1,16",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?
"1990-01-01 00:00:00,0"," 0,02",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?
