Timestamp,MON1 CL DDM (?A),Status,MON1 CL SDM (%),Status,MON1 CL RF (V),Status,MON1 DS DDM (?A),Status,MON1 DS SDM (%),Status,MON1 DS RF (V),Status,MON1 NF DDM (?A),Status,MON1 NF SDM (%),Status,MON1 NF RF (V),Status,MON1 CLR DDM (?A),Status,MON1 CLR SDM (%),Status,MON1 CLR RF (V),Status,MON1 DIFF FREQ (kHz),Status,MON1 CL ID MOD (%),Status,MON1 CL ID ACT (),Status,MON1 CLR ID MOD (%),Status,MON1 CLR ID ACT (),Status,MON1 VOICE (),Status,MON1 DL 0 (?),Status,MON1 DL 1 (?),Status,MON1 DL 2 (),Status,MON1 DL 3 (),Status,MON1 FFM Ch.A DDM (?A),Status,MON1 FFM Ch.A SDM (%),Status,MON1 FFM Ch.A RF (dBm),Status,MON1 FFM Ch.B DDM (?A),Status,MON1 FFM Ch.B SDM (%),Status,MON1 FFM Ch.B RF (dBm),Status,MON1 Execute alarm (),Status,MON1 TEST DDM (?A),Status,MON1 TEST SDM (%),Status,MON1 TEST RF (V),Status,MON1 SELF TEST (),Status,MON2 CL DDM (?A),Status,MON2 CL SDM (%),Status,MON2 CL RF (V),Status,MON2 DS DDM (?A),Status,MON2 DS SDM (%),Status,MON2 DS RF (V),Status,MON2 NF DDM (?A),Status,MON2 NF SDM (%),Status,MON2 NF RF (V),Status,MON2 CLR DDM (?A),Status,MON2 CLR SDM (%),Status,MON2 CLR RF (V),Status,MON2 DIFF FREQ (kHz),Status,MON2 CL ID MOD (%),Status,MON2 CL ID ACT (),Status,MON2 CLR ID MOD (%),Status,MON2 CLR ID ACT (),Status,MON2 VOICE (),Status,MON2 DL 0 (?),Status,MON2 DL 1 (?),Status,MON2 DL 2 (),Status,MON2 DL 3 (),Status,MON2 FFM Ch.A DDM (?A),Status,MON2 FFM Ch.A SDM (%),Status,MON2 FFM Ch.A RF (dBm),Status,MON2 FFM Ch.B DDM (?A),Status,MON2 FFM Ch.B SDM (%),Status,MON2 FFM Ch.B RF (dBm),Status,MON2 Execute alarm (),Status,MON2 TEST DDM (?A),Status,MON2 TEST SDM (%),Status,MON2 TEST RF (V),Status,MON2 SELF TEST (),Status
"2022-02-12 06:31:20,6","-0,87", ,"80,01", ," 2,92", ," 0,29", ,"79,90", ," 2,99", ,"-7,52", ,"79,87", ," 3,07", ,"-0,87", ,"80,07", ," 3,01", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,80", ," 3,09", ," 0,00", ,"-0,87", ,"79,77", ," 3,05", ," 0,00", ,"79,77", ," 3,08", ,"-7,81", ,"79,84", ," 3,18", ,"-2,02", ,"79,87", ," 3,04", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,60", ," 3,09", ," 0,00", 
"2022-02-12 06:36:21,2","-0,87", ,"79,97", ," 2,92", ," 0,58", ,"79,90", ," 2,99", ,"-7,52", ,"79,84", ," 3,07", ,"-0,87", ,"80,07", ," 3,01", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-45,70",a,"59,22",a," 2,63", ," 0,00", ,"-0,58", ,"79,77", ," 3,05", ," 0,29", ,"79,77", ," 3,08", ,"-7,52", ,"79,80", ," 3,18", ,"-2,02", ,"79,87", ," 3,04", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,07", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,60", ," 3,09", ," 0,00", 
"2022-02-12 06:41:21,6","-0,87", ,"80,01", ," 2,92", ," 0,29", ,"79,90", ," 2,99", ,"-7,52", ,"79,87", ," 3,07", ,"-0,87", ,"80,07", ," 3,01", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-16,20", ,"73,66", ," 2,39", ," 0,00", ,"-0,58", ,"79,77", ," 3,05", ," 0,00", ,"79,77", ," 3,08", ,"-7,52", ,"79,84", ," 3,18", ,"-2,02", ,"79,87", ," 3,04", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"53,92",a," 1,55",a," 0,00", 
"2022-02-12 06:46:22,0","-0,87", ,"79,97", ," 2,92", ," 0,58", ,"79,90", ," 2,99", ,"-7,52", ,"79,84", ," 3,07", ,"-0,87", ,"80,07", ," 3,01", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-59,87",a,"54,12",a," 1,86",a," 0,00", ,"-0,58", ,"79,77", ," 3,05", ," 0,00", ,"79,77", ," 3,08", ,"-7,52", ,"79,84", ," 3,18", ,"-2,02", ,"79,87", ," 3,04", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,60", ," 3,09", ," 0,00", 
"2022-02-12 06:51:22,7","-0,87", ,"79,97", ," 2,92", ," 0,58", ,"79,90", ," 2,99", ,"-7,52", ,"79,84", ," 3,07", ,"-0,87", ,"80,07", ," 3,01", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"54,02",a," 1,55",a," 0,00", ,"-0,58", ,"79,77", ," 3,05", ," 0,00", ,"79,77", ," 3,08", ,"-7,52", ,"79,80", ," 3,18", ,"-1,74", ,"79,87", ," 3,04", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,74",a,"56,52",a," 2,34", ," 0,00", 
"2022-02-12 06:56:23,3","-0,87", ,"79,97", ," 2,92", ," 0,29", ,"79,90", ," 2,99", ,"-7,52", ,"79,87", ," 3,07", ,"-1,16", ,"80,07", ," 3,01", ,"15,04", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,07", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-65,66",a,"56,69",a," 1,55",a," 0,00", ,"-0,58", ,"79,77", ," 3,05", ," 0,00", ,"79,77", ," 3,08", ,"-7,52", ,"79,84", ," 3,18", ,"-2,02", ,"79,87", ," 3,04", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"53,92",a," 1,55",a," 0,00", 
"2022-02-12 07:01:23,7","-0,87", ,"79,97", ," 2,92", ," 0,58", ,"79,90", ," 2,99", ,"-7,52", ,"79,87", ," 3,07", ,"-0,87", ,"80,07", ," 3,01", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-24,87",a,"67,96", ," 3,09", ," 0,00", ,"-0,58", ,"79,77", ," 3,05", ," 0,00", ,"79,77", ," 3,08", ,"-7,52", ,"79,84", ," 3,18", ,"-2,02", ,"79,87", ," 3,04", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,07", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,57", ," 3,09", ," 0,00", 
"2022-02-12 07:06:24,1","-0,87", ,"79,97", ," 2,92", ," 0,58", ,"79,90", ," 3,00", ,"-7,52", ,"79,87", ," 3,07", ,"-0,87", ,"80,04", ," 3,01", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,07", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-19,38", ,"66,47", ," 1,81",a," 0,00", ,"-0,58", ,"79,77", ," 3,05", ," 0,00", ,"79,77", ," 3,08", ,"-7,52", ,"79,84", ," 3,18", ,"-2,02", ,"79,87", ," 3,04", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"53,92",a," 1,55",a," 0,00", 
"2022-02-12 07:11:24,4","-0,87", ,"79,97", ," 2,92", ," 0,29", ,"79,90", ," 3,00", ,"-7,23", ,"79,84", ," 3,07", ,"-0,87", ,"80,07", ," 3,02", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-52,93",a,"56,66",a," 2,44", ," 0,00", ,"-0,58", ,"79,74", ," 3,05", ," 0,00", ,"79,80", ," 3,08", ,"-7,23", ,"79,84", ," 3,18", ,"-2,02", ,"79,87", ," 3,05", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,60", ," 3,09", ," 0,00", 
"2022-02-12 07:16:24,8","-0,87", ,"79,97", ," 2,92", ," 0,58", ,"79,90", ," 3,00", ,"-7,23", ,"79,84", ," 3,07", ,"-0,87", ,"80,07", ," 3,02", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,07", ," 0,10", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-2,31", ,"76,13", ," 2,58", ," 0,00", ,"-0,58", ,"79,74", ," 3,05", ," 0,00", ,"79,80", ," 3,08", ,"-7,23", ,"79,80", ," 3,18", ,"-2,02", ,"79,87", ," 3,05", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"53,92",a," 1,55",a," 0,00", 
"2022-02-12 07:21:25,5","-0,87", ,"80,01", ," 2,92", ," 0,58", ,"79,90", ," 3,00", ,"-7,81", ,"79,84", ," 3,07", ,"-0,87", ,"80,07", ," 3,02", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,84", ," 3,09", ," 0,00", ,"-0,58", ,"79,77", ," 3,05", ," 0,29", ,"79,80", ," 3,09", ,"-7,81", ,"79,80", ," 3,18", ,"-2,02", ,"79,87", ," 3,05", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-11,28", ,"69,38", ," 2,10", ," 0,00", 
"2022-02-12 07:26:25,9","-0,87", ,"79,97", ," 2,92", ," 0,00", ,"79,90", ," 3,00", ,"-7,52", ,"79,84", ," 3,07", ,"-0,87", ,"80,07", ," 3,02", ,"15,06", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"54,02",a," 1,55",a," 0,00", ,"-0,58", ,"79,77", ," 3,05", ,"-0,29", ,"79,77", ," 3,08", ,"-7,52", ,"79,80", ," 3,18", ,"-2,02", ,"79,87", ," 3,05", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-58,14",a,"54,93",a," 2,15", ," 0,00", 
"2022-02-12 07:31:26,5","-0,87", ,"79,97", ," 2,92", ," 0,29", ,"79,90", ," 3,00", ,"-7,52", ,"79,87", ," 3,07", ,"-0,87", ,"80,04", ," 3,02", ,"15,06", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-65,08",a,"56,96",a," 1,55",a," 0,00", ,"-0,58", ,"79,77", ," 3,05", ," 0,29", ,"79,77", ," 3,08", ,"-7,52", ,"79,84", ," 3,18", ,"-2,02", ,"79,87", ," 3,04", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-59,87",a,"53,92",a," 1,55",a," 0,00", 
"2022-02-12 07:36:27,2","-0,87", ,"80,01", ," 2,92", ," 0,58", ,"79,90", ," 2,99", ,"-7,52", ,"79,84", ," 3,07", ,"-0,87", ,"80,04", ," 3,01", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,84", ," 3,09", ," 0,00", ,"-0,58", ,"79,77", ," 3,05", ," 0,00", ,"79,77", ," 3,08", ,"-7,52", ,"79,84", ," 3,18", ,"-2,02", ,"79,87", ," 3,04", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-65,37",a,"54,90",a," 1,55",a," 0,00", 
"2022-02-12 07:41:27,5","-0,87", ,"79,97", ," 2,92", ," 0,58", ,"79,90", ," 2,99", ,"-7,23", ,"79,87", ," 3,07", ,"-0,87", ,"80,04", ," 3,01", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,45",a,"54,02",a," 1,55",a," 0,00", ,"-0,58", ,"79,77", ," 3,05", ," 0,00", ,"79,80", ," 3,08", ,"-7,23", ,"79,84", ," 3,18", ,"-2,02", ,"79,87", ," 3,04", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-15,62", ,"72,75", ," 3,09", ," 0,00", 
"2022-02-12 07:46:27,9","-0,87", ,"80,01", ," 2,92", ," 0,58", ,"79,90", ," 2,99", ,"-7,52", ,"79,87", ," 3,07", ,"-1,16", ,"80,07", ," 3,01", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,84", ," 3,09", ," 0,00", ,"-0,58", ,"79,77", ," 3,05", ," 0,00", ,"79,77", ," 3,08", ,"-7,52", ,"79,84", ," 3,18", ,"-1,74", ,"79,87", ," 3,04", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-58,42",a,"61,28",a," 1,55",a," 0,00", 
"2022-02-12 07:51:28,6","-0,87", ,"79,97", ," 2,91", ," 0,58", ,"79,90", ," 2,99", ,"-7,52", ,"79,87", ," 3,07", ,"-0,87", ,"80,07", ," 3,01", ,"15,06", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,84", ," 3,09", ," 0,00", ,"-0,58", ,"79,77", ," 3,04", ," 0,29", ,"79,80", ," 3,08", ,"-7,52", ,"79,84", ," 3,18", ,"-1,74", ,"79,87", ," 3,04", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,60", ," 3,09", ," 0,00", 
"2022-02-12 07:56:29,0","-0,87", ,"79,97", ," 2,91", ," 0,29", ,"79,90", ," 2,99", ,"-7,52", ,"79,84", ," 3,07", ,"-0,87", ,"80,04", ," 3,01", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-53,22",a,"54,19",a," 1,55",a," 0,00", ,"-0,58", ,"79,77", ," 3,05", ,"-0,29", ,"79,77", ," 3,08", ,"-7,52", ,"79,84", ," 3,18", ,"-2,02", ,"79,84", ," 3,04", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,07", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"53,92",a," 1,55",a," 0,00", 
"2022-02-12 08:01:29,3","-0,87", ,"79,97", ," 2,91", ," 0,29", ,"79,90", ," 2,99", ,"-7,52", ,"79,87", ," 3,07", ,"-0,87", ,"80,07", ," 3,01", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-18,51", ,"73,29", ," 3,09", ," 0,00", ,"-0,58", ,"79,77", ," 3,05", ," 0,00", ,"79,77", ," 3,08", ,"-7,52", ,"79,84", ," 3,18", ,"-1,74", ,"79,87", ," 3,04", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,57", ," 3,09", ," 0,00", 
"2022-02-12 08:06:30,2","-0,87", ,"79,97", ," 2,91", ," 0,29", ,"79,90", ," 2,99", ,"-7,52", ,"79,84", ," 3,07", ,"-0,87", ,"80,07", ," 3,01", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-0,87", ,"79,84", ," 3,09", ," 0,00", ,"-0,58", ,"79,77", ," 3,05", ,"-0,29", ,"79,77", ," 3,08", ,"-7,52", ,"79,84", ," 3,18", ,"-2,02", ,"79,87", ," 3,04", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-7,23", ,"75,18", ," 2,39", ," 0,00", 
"2022-02-12 08:11:30,6","-0,87", ,"79,97", ," 2,92", ," 0,58", ,"79,90", ," 2,99", ,"-7,52", ,"79,87", ," 3,07", ,"-0,87", ,"80,04", ," 3,01", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-51,77",a,"54,43",a," 1,55",a," 0,00", ,"-0,58", ,"79,74", ," 3,05", ," 0,29", ,"79,77", ," 3,08", ,"-7,52", ,"79,84", ," 3,18", ,"-2,02", ,"79,87", ," 3,04", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-59,29",a,"54,06",a," 1,86",a," 0,00", 
"2022-02-12 08:16:31,0","-0,87", ,"79,97", ," 2,92", ," 0,29", ,"79,90", ," 2,99", ,"-7,52", ,"79,87", ," 3,07", ,"-0,87", ,"80,07", ," 3,01", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-19,09", ,"72,82", ," 3,09", ," 0,00", ,"-0,58", ,"79,77", ," 3,05", ," 0,00", ,"79,80", ," 3,08", ,"-7,81", ,"79,80", ," 3,18", ,"-2,02", ,"79,87", ," 3,04", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,57", ," 3,09", ," 0,00", 
"2022-02-12 08:21:31,0","-0,87", ,"79,97", ," 2,92", ," 0,58", ,"79,90", ," 2,99", ,"-7,52", ,"79,84", ," 3,07", ,"-0,87", ,"80,04", ," 3,01", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,84", ," 3,09", ," 0,00", ,"-0,58", ,"79,77", ," 3,05", ," 0,00", ,"79,77", ," 3,08", ,"-7,52", ,"79,84", ," 3,18", ,"-2,02", ,"79,84", ," 3,04", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-43,38",a,"64,52",a," 1,72",a," 0,00", 
"2022-02-12 08:26:31,4","-0,87", ,"79,97", ," 2,91", ," 0,29", ,"79,90", ," 2,99", ,"-7,52", ,"79,87", ," 3,07", ,"-0,87", ,"80,04", ," 3,01", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"54,02",a," 1,55",a," 0,00", ,"-0,58", ,"79,77", ," 3,05", ," 0,00", ,"79,77", ," 3,08", ,"-7,81", ,"79,84", ," 3,18", ,"-2,02", ,"79,87", ," 3,04", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-56,98",a,"58,65",a," 2,54", ," 0,00", 
"2022-02-12 08:31:31,6","-0,87", ,"79,97", ," 2,91", ," 0,29", ,"79,90", ," 2,99", ,"-7,81", ,"79,84", ," 3,07", ,"-0,87", ,"80,07", ," 3,01", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"54,02",a," 1,55",a," 0,00", ,"-0,87", ,"79,77", ," 3,04", ," 0,00", ,"79,77", ," 3,08", ,"-7,81", ,"79,80", ," 3,18", ,"-2,02", ,"79,87", ," 3,04", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-2,89", ,"78,25", ," 3,09", ," 0,00", 
"2022-02-12 08:36:32,2","-0,87", ,"79,97", ," 2,91", ," 0,58", ,"79,90", ," 2,99", ,"-7,52", ,"79,84", ," 3,07", ,"-0,87", ,"80,07", ," 3,01", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-59,00",a,"55,00",a," 1,55",a," 0,00", ,"-0,58", ,"79,77", ," 3,04", ," 0,00", ,"79,77", ," 3,08", ,"-7,81", ,"79,80", ," 3,18", ,"-2,02", ,"79,87", ," 3,04", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-63,63",a,"54,09",a," 1,77",a," 0,00", 
