Timestamp,MON1 CL DDM (?A),Status,MON1 CL SDM (%),Status,MON1 CL RF (V),Status,MON1 DS DDM (?A),Status,MON1 DS SDM (%),Status,MON1 DS RF (V),Status,MON1 NF DDM (?A),Status,MON1 NF SDM (%),Status,MON1 NF RF (V),Status,MON1 CLR DDM (?A),Status,MON1 CLR SDM (%),Status,MON1 CLR RF (V),Status,MON1 DIFF FREQ (kHz),Status,MON1 CL ID MOD (%),Status,MON1 CL ID ACT (),Status,MON1 CLR ID MOD (%),Status,MON1 CLR ID ACT (),Status,MON1 VOICE (),Status,MON1 DL 0 (?),Status,MON1 DL 1 (?),Status,MON1 DL 2 (),Status,MON1 DL 3 (),Status,MON1 FFM Ch.A DDM (?A),Status,MON1 FFM Ch.A SDM (%),Status,MON1 FFM Ch.A RF (dBm),Status,MON1 FFM Ch.B DDM (?A),Status,MON1 FFM Ch.B SDM (%),Status,MON1 FFM Ch.B RF (dBm),Status,MON1 Execute alarm (),Status,MON1 TEST DDM (?A),Status,MON1 TEST SDM (%),Status,MON1 TEST RF (V),Status,MON1 SELF TEST (),Status,MON2 CL DDM (?A),Status,MON2 CL SDM (%),Status,MON2 CL RF (V),Status,MON2 DS DDM (?A),Status,MON2 DS SDM (%),Status,MON2 DS RF (V),Status,MON2 NF DDM (?A),Status,MON2 NF SDM (%),Status,MON2 NF RF (V),Status,MON2 CLR DDM (?A),Status,MON2 CLR SDM (%),Status,MON2 CLR RF (V),Status,MON2 DIFF FREQ (kHz),Status,MON2 CL ID MOD (%),Status,MON2 CL ID ACT (),Status,MON2 CLR ID MOD (%),Status,MON2 CLR ID ACT (),Status,MON2 VOICE (),Status,MON2 DL 0 (?),Status,MON2 DL 1 (?),Status,MON2 DL 2 (),Status,MON2 DL 3 (),Status,MON2 FFM Ch.A DDM (?A),Status,MON2 FFM Ch.A SDM (%),Status,MON2 FFM Ch.A RF (dBm),Status,MON2 FFM Ch.B DDM (?A),Status,MON2 FFM Ch.B SDM (%),Status,MON2 FFM Ch.B RF (dBm),Status,MON2 Execute alarm (),Status,MON2 TEST DDM (?A),Status,MON2 TEST SDM (%),Status,MON2 TEST RF (V),Status,MON2 SELF TEST (),Status
"2022-02-08 13:18:57,4","-1,16", ,"80,01", ," 2,88", ," 0,00", ,"79,87", ," 2,96", ,"-13,59", ,"79,84", ," 3,24", ,"-0,58", ,"80,07", ," 2,98", ,"15,04", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,07", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,84", ," 3,09", ," 0,00", ,"-0,87", ,"79,77", ," 3,02", ,"-0,58", ,"79,77", ," 3,04", ,"-13,59", ,"79,80", ," 3,35", ,"-1,74", ,"79,84", ," 3,00", ,"15,06", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,07", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-59,87",a,"53,96",a," 1,55",a," 0,00", 
"2022-02-08 13:23:58,0","-1,16", ,"79,97", ," 2,88", ," 0,00", ,"79,90", ," 2,96", ,"-13,30", ,"79,84", ," 3,24", ,"-0,58", ,"80,07", ," 2,98", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,07", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-54,95",a,"55,91",a," 2,34", ," 0,00", ,"-1,16", ,"79,77", ," 3,02", ,"-0,29", ,"79,77", ," 3,04", ,"-13,59", ,"79,77", ," 3,35", ,"-1,45", ,"79,87", ," 3,00", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,07", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-59,87",a,"53,92",a," 1,55",a," 0,00", 
"2022-02-08 13:28:58,4","-1,16", ,"80,01", ," 2,88", ," 0,00", ,"79,90", ," 2,96", ,"-13,30", ,"79,84", ," 3,24", ,"-0,58", ,"80,07", ," 2,98", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,07", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-6,94", ,"78,12", ," 2,68", ," 0,00", ,"-0,87", ,"79,77", ," 3,02", ,"-0,29", ,"79,77", ," 3,04", ,"-13,59", ,"79,80", ," 3,35", ,"-1,45", ,"79,84", ," 3,00", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,60", ," 3,09", ," 0,00", 
"2022-02-08 13:33:58,5","-1,16", ,"79,97", ," 2,88", ," 0,29", ,"79,90", ," 2,96", ,"-13,30", ,"79,84", ," 3,24", ,"-0,58", ,"80,07", ," 2,98", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,07", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-37,31",a,"57,63",a," 1,55",a," 0,00", ,"-0,87", ,"79,77", ," 3,01", ,"-0,29", ,"79,77", ," 3,04", ,"-13,30", ,"79,80", ," 3,35", ,"-1,45", ,"79,90", ," 3,00", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,07", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,60", ," 3,09", ," 0,00", 
"2022-02-08 13:38:58,9","-1,16", ,"79,97", ," 2,89", ," 0,00", ,"79,90", ," 2,97", ,"-13,30", ,"79,84", ," 3,24", ,"-0,58", ,"80,07", ," 2,98", ,"15,04", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,07", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-39,05",a,"63,98",a," 3,02", ," 0,00", ,"-0,87", ,"79,77", ," 3,02", ,"-0,58", ,"79,77", ," 3,05", ,"-13,30", ,"79,77", ," 3,36", ,"-1,74", ,"79,87", ," 3,01", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,07", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-59,87",a,"53,92",a," 1,55",a," 0,00", 
"2022-02-08 13:43:59,3","-1,16", ,"79,97", ," 2,89", ," 0,00", ,"79,90", ," 2,97", ,"-13,59", ,"79,84", ," 3,24", ,"-1,16", ,"80,07", ," 2,98", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,07", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-18,80", ,"68,20", ," 2,01", ," 0,00", ,"-0,87", ,"79,77", ," 3,02", ,"-0,29", ,"79,77", ," 3,05", ,"-13,59", ,"79,77", ," 3,36", ,"-1,45", ,"79,87", ," 3,01", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,07", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,60", ," 3,09", ," 0,00", 
"2022-02-08 13:48:59,9","-1,16", ,"80,01", ," 2,88", ," 0,00", ,"79,90", ," 2,96", ,"-13,30", ,"79,84", ," 3,24", ,"-0,58", ,"80,07", ," 2,98", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,07", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,84", ," 3,09", ," 0,00", ,"-0,87", ,"79,77", ," 3,02", ,"-0,29", ,"79,77", ," 3,05", ,"-13,59", ,"79,80", ," 3,36", ,"-1,74", ,"79,84", ," 3,01", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-43,38",a,"65,87", ," 3,02", ," 0,00", 
"2022-02-08 13:54:00,3","-1,16", ,"79,97", ," 2,88", ," 0,00", ,"79,90", ," 2,96", ,"-13,30", ,"79,84", ," 3,24", ,"-0,58", ,"80,07", ," 2,98", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,07", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"54,06",a," 1,55",a," 0,00", ,"-0,87", ,"79,77", ," 3,01", ,"-0,29", ,"79,77", ," 3,04", ,"-13,30", ,"79,80", ," 3,35", ,"-1,74", ,"79,84", ," 3,00", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-21,69",a,"67,96", ," 2,01", ," 0,00", 
"2022-02-08 13:59:00,7","-1,16", ,"80,01", ," 2,88", ,"-0,29", ,"79,90", ," 2,96", ,"-13,59", ,"79,84", ," 3,24", ,"-0,58", ,"80,07", ," 2,98", ,"15,06", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,07", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,84", ," 3,09", ," 0,00", ,"-0,87", ,"79,77", ," 3,01", ,"-0,29", ,"79,77", ," 3,04", ,"-13,59", ,"79,77", ," 3,35", ,"-1,74", ,"79,84", ," 3,00", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-63,34",a,"55,41",a," 2,25", ," 0,00", 
"2022-02-08 14:04:01,3","-1,16", ,"79,97", ," 2,88", ," 0,00", ,"79,90", ," 2,96", ,"-13,30", ,"79,84", ," 3,24", ,"-0,58", ,"80,07", ," 2,98", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,07", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-10,99", ,"75,01", ," 3,09", ," 0,00", ,"-0,87", ,"79,77", ," 3,01", ,"-0,29", ,"79,77", ," 3,04", ,"-13,59", ,"79,77", ," 3,35", ,"-1,45", ,"79,87", ," 3,00", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-59,87",a,"53,92",a," 1,55",a," 0,00", 
